"movie_title","no_of_char","character_name"
"Academy Dinosaur","10","Penelope Guiness, Christian Gable, Lucille Tracy, Sandra Peck, Johnny Cage, Mena Temple, Warren Nolte, Oprah Kilmer, Rock Dukakis, Mary Keitel"
"Ace Goldfinger","4","Bob Fawcett, Minnie Zellweger, Sean Guiness, Chris Depp"
"Adaptation Holes","5","Nick Wahlberg, Bob Fawcett, Cameron Streep, Ray Johansson, Julianne Dench"
"Affair Prejudice","5","Jodie Degeneres, Scarlett Damon, Kenneth Pesci, Fay Winslet, Oprah Kilmer"
"African Egg","5","Gary Phoenix, Dustin Tautou, Matthew Leigh, Matthew Carrey, Thora Temple"
"Agent Truman","7","Kirsten Paltrow, Sandra Kilmer, Jayne Neeson, Warren Nolte, Morgan Williams, Kenneth Hoffman, Reese West"
"Airplane Sierra","5","Jim Mostel, Richard Penn, Oprah Kilmer, Mena Hopper, Michael Bolger"
"Airport Pollock","4","Fay Kilmer, Gene Willis, Susan Davis, Lucille Dee"
"Alabama Devil","9","Christian Gable, Elvis Marx, Rip Crawford, Mena Temple, Rip Winslet, Warren Nolte, Greta Keitel, William Hackman, Meryl Allen"
"Aladdin Calendar","8","Alec Wayne, Judy Dean, Val Bolger, Ray Johansson, Renee Tracy, Jada Ryder, Greta Malden, Rock Dukakis"
"Alamo Videotape","4","Johnny Cage, Scarlett Damon, Sean Guiness, Michael Bening"
"Alaska Phantom","7","Val Bolger, Burt Posey, Sidney Crowe, Sylvester Dern, Albert Johansson, Gene Mckellen, Jeff Silverstone"
"Ali Forever","5","Cary Mcconaughey, Christopher Berry, Kenneth Torn, Morgan Mcdormand, Jon Chase"
"Alice Fantasia","4","Woody Hoffman, Minnie Zellweger, Morgan Williams, Rock Dukakis"
"Alien Center","6","Burt Dukakis, Kenneth Paltrow, Sidney Crowe, Renee Tracy, Humphrey Willis, Mena Hopper"
"Alley Evolution","5","Karl Berry, Jude Cruise, Albert Johansson, Gregory Gooding, John Suvari"
"Alone Trip","8","Ed Chase, Karl Berry, Uma Wood, Woody Jolie, Spencer Depp, Chris Depp, Laurence Bullock, Renee Ball"
"Alter Victory","4","Reese Kilmer, Jada Ryder, Angela Witherspoon, Oprah Kilmer"
"Amadeus Holy","6","Johnny Lollobrigida, Julia Mcqueen, Val Bolger, Kirk Jovovich, James Pitt, Penelope Cronyn"
"Amelie Hellfighters","6","Carmen Hunt, Walter Torn, Ed Mansfield, Ewan Gooding, Ian Tandy, Laura Brody"
"American Circus","5","Kevin Bloom, Rip Crawford, Sidney Crowe, Warren Jackman, Frances Tomei"
"Amistad Midsummer","4","Cary Mcconaughey, Daryl Wahlberg, Salma Nolte, Scarlett Bening"
"Anaconda Confessions","5","Penelope Guiness, Jennifer Davis, Elvis Marx, Jayne Nolte, Humphrey Willis"
"Analyze Hoosiers","5","Tom Mckellen, Tom Miranda, Jessica Bailey, Greta Malden, Ed Guiness"
"Angels Life","9","Penelope Guiness, Jennifer Davis, Grace Mostel, Julia Barrymore, Christopher Berry, Ed Mansfield, Nick Degeneres, Laurence Bullock, Renee Ball"
"Annie Identity","3","Adam Grant, Cate Mcqueen, Greta Keitel"
"Anonymous Human","9","Grace Mostel, Fay Kilmer, Jim Mostel, Susan Davis, Whoopi Hurt, Emily Dee, Meryl Gibson, Mena Hopper, Ed Guiness"
"Anthem Luke","2","Milla Keitel, Oprah Kilmer"
"Antitrust Tomatoes","7","Bette Nicholson, Uma Wood, Sidney Crowe, Salma Nolte, William Hackman, Renee Ball, Reese West"
"Anything Savannah","3","Joe Swank, Christopher West, Lisa Monroe"
